NAME	T cells CD8	Monocytes	T cells CD4	NKT cells	B cells	NK cells
CA6	1	1	5.98339025015538	1	1	1
CAAP1	11.8479459989316	9.25106819135253	18.3870489060129	24.1269427551778	9.45844787481496	1
CACNA1I	1	1	6.75080847256933	1	1	1
CACNA2D3	4.07316337138615	25.2258447898222	1	1	6.19008693395616	1
CACNA2D4	9.92683754516859	36.3316378007228	1	1	1	14.6718482971713
CAD	4.06273085333807	2.43916710879869	6.31810023172725	1	1	12.9551442985917
CALD1	7.25478225542002	23.0826536724096	3.96630280018985	1	1	1
CAMK1	2.33425205086353	40.5372478678926	3.21441763030741	1	1	1
CAMK4	36.3520565300582	1.59909620346745	69.8971422379136	20.7780979769283	1	1
CAMKK2	8.86172453710413	29.3097237641645	1	6.00312695434646	1	1
CAPG	17.9282673375398	145.134172410123	19.2460794254078	1	123.249021430001	8.79234947128908
CAPN12	31.8601433750843	1	4.9024324059472	9.54000136640022	1	59.9555609244037
CAPN3	11.4671394210777	4.80695894563607	3.63970646464113	9.33000133280022	1	1
CAPS	9.45839869577288	3.53963352020603	6.31130827785083	1	32.3683772033555	22.7260102097284
CARD9	3.55137535792136	24.9112283099809	1	1	1	1
CARKD	11.9264559925019	6.10466763291235	6.59436862452198	27.6167468488716	7.18716163959784	1
CARNS1	6.03550232933667	1	3.56460233276228	37.7857505972821	1	11.612331529237
CARS2	23.1335339379766	86.5071533994524	25.3592872333883	1	21.1051306294611	1
CASP10	11.6746892577068	17.5768688567151	12.9427805249648	14.7625884284941	1	53.4273113879253
CASP3	31.0871428878693	13.1228567798528	11.8540013415436	1	7.17951490807972	11.3571132653907
CASS4	4.53035827799422	3.6653769918042	8.71195968156248	1	1	1
CATSPER1	5.73313342139492	57.4528567898358	1	9.26227774472866	1	54.0303105938089
CATSPERG	3.86593719012054	1.9364812839533	3.81206940187284	5.54194486078939	15.0548137737175	35.1453279206909
CBFA2T3	1.65623170754115	7.11211674581331	1	1	29.7938048118417	1
CBWD3	10.8171155152478	2.97528384540841	6.45634249498082	1	18.0068027210884	1
CBX5	12.3076870542153	15.0128129449995	31.7881689876658	14.2837775799279	51.0799268993928	11.3571132653907
CCBL1	3.51844762888156	4.03172084070999	1	1	9.45844787481496	21.7724367725917
CCDC102B	2.60533742587354	1	10.4397909301956	7.85889873521907	1	1
CCDC104	15.2454692909527	2.24268987679972	30.7368312977493	9.08427043501459	14.3683735829032	21.313503683126
